POINT_X,POINT_Y,AGB_T_HA_2018,AGB_T_HA_2010,AGB_T_HA_SD_2018,AGB_T_HA_SD_2010
-54.98310009,-3.11165188,71.53905919,46.3907556,44.08318342,35.52398504
-54.98310009,-3.11074788,93.3202706,36.81057691,49.96542753,31.79588228
-54.98310009,-3.10984388,52.14159476,21.08254751,37.58615243,24.82225267
-54.98310009,-3.10893988,38.68821982,9.363315806,32.93867923,19.42183908
-54.98310009,-3.10803588,18.74166061,57.07645325,23.60034354,39.5385816
-54.98310009,-3.10713188,4.389330845,42.05575531,11.47523902,33.85736502
-54.98310009,-3.10622788,2.93818676,24.26897546,9.584855949,25.94541484
-54.98310009,-3.10532388,2.914137743,24.2751145,9.517099735,25.94818116
-54.98220109,-3.13063588,0.1928285,0.191056334,2.617403852,3.901674667
-54.98220109,-3.12973188,0.49028169,0.423679447,4.434381165,4.082254275
-54.98220109,-3.12882788,2.797178064,2.392247623,10.33627345,9.010785532
-54.98220109,-3.12792388,2.493847553,6.617848455,9.046359605,15.321734
-54.98220109,-3.12701988,12.23065028,19.48269919,22.14147029,35.99474255
-54.98220109,-3.12611588,32.1432038,38.64554779,32.57685781,39.38355012
-54.98220109,-3.12521188,27.14903523,59.17055947,32.28740204,40.68658417
-54.98220109,-3.12430788,26.82952182,98.24134868,33.5630225,51.27340235
-54.98220109,-3.12340388,47.40592838,118.4331603,38.82803948,56.5493591
-54.98220109,-3.12249988,78.67063863,111.6336994,46.4768958,54.51976023
-54.98220109,-3.12159588,93.68512924,106.1199272,50.10139772,53.21464883
-54.98220109,-3.12069188,42.93489368,171.426908,41.89740112,67.56228548
-54.98220109,-3.11978788,0.22554288,163.045903,3.25700921,67.68024371
-54.98220109,-3.11888388,0.177719905,127.7924979,2.490904981,58.99919019
-54.98220109,-3.11797988,0.179137453,37.6704773,2.500357972,32.07990915
-54.98220109,-3.11707588,0.15933843,34.00132803,2.36443276,30.5904193
-54.98220109,-3.11617188,0.163198932,62.09304041,2.391916116,40.86089063
-54.98220109,-3.11526788,0.183487096,83.01800926,2.529157105,47.11055502
-54.98220109,-3.11436388,0.20948317,56.14665589,2.696545804,38.89957652
